,Date,Result
1077,13149.0,
1078,13150.0,
1079,13151.0,
1080,13152.0,
1081,13153.0,
1082,13154.0,
1083,13155.0,
1084,13156.0,
1085,13157.0,
1086,13158.0,
1087,13159.0,
1088,13160.0,
1089,13161.0,
1090,13162.0,
1091,13163.0,
1092,13164.0,
1093,13165.0,9.08
1094,13166.0,
1095,13167.0,
1096,13168.0,
1097,13169.0,
1098,13170.0,
1099,13171.0,
1100,13172.0,
1101,13173.0,
1102,13174.0,
1103,13175.0,
1104,13176.0,
1105,13177.0,
1106,13178.0,
1107,13179.0,
1108,13180.0,
1109,13181.0,
1110,13182.0,
1111,13183.0,
1112,13184.0,
1113,13185.0,
1114,13186.0,
1115,13187.0,
1116,13188.0,
1117,13189.0,
1118,13190.0,
1119,13191.0,
1120,13192.0,
1121,13193.0,
1122,13194.0,
1123,13195.0,14.3
1124,13196.0,
1125,13197.0,
1126,13198.0,
1127,13199.0,
1128,13200.0,
1129,13201.0,
1130,13202.0,
1131,13203.0,
1132,13204.0,
1133,13205.0,
1134,13206.0,
1135,13207.0,
1136,13208.0,
1137,13209.0,
1138,13210.0,
1139,13211.0,
1140,13212.0,
1141,13213.0,
1142,13214.0,
1143,13215.0,
1144,13216.0,
1145,13217.0,
1146,13218.0,
1147,13219.0,
1148,13220.0,
1149,13221.0,
1150,13222.0,
1151,13223.0,
1152,13224.0,8.81
1153,13225.0,
1154,13226.0,
1155,13227.0,
1156,13228.0,
1157,13229.0,
1158,13230.0,
1159,13231.0,
1160,13232.0,
1161,13233.0,
1162,13234.0,
1163,13235.0,
1164,13236.0,
1165,13237.0,
1166,13238.0,
1167,13239.0,
1168,13240.0,
1169,13241.0,
1170,13242.0,
1171,13243.0,
1172,13244.0,
1173,13245.0,
1174,13246.0,
1175,13247.0,
1176,13248.0,
1177,13249.0,
1178,13250.0,
1179,13251.0,
1180,13252.0,
1181,13253.0,
1182,13254.0,
1183,13255.0,
1184,13256.0,
1185,13257.0,
1186,13258.0,1.58
1187,13259.0,
1188,13260.0,
1189,13261.0,
1190,13262.0,
1191,13263.0,
1192,13264.0,
1193,13265.0,
1194,13266.0,
1195,13267.0,
1196,13268.0,
1197,13269.0,
1198,13270.0,
1199,13271.0,
1200,13272.0,
1201,13273.0,
1202,13274.0,
1203,13275.0,
1204,13276.0,
1205,13277.0,
1206,13278.0,
1207,13279.0,
1208,13280.0,
1209,13281.0,
1210,13282.0,
1211,13283.0,
1212,13284.0,5.16
1213,13285.0,
1214,13286.0,
1215,13287.0,
1216,13288.0,
1217,13289.0,
1218,13290.0,
1219,13291.0,
1220,13292.0,
1221,13293.0,
1222,13294.0,
1223,13295.0,
1224,13296.0,
1225,13297.0,
1226,13298.0,
1227,13299.0,
1228,13300.0,
1229,13301.0,
1230,13302.0,
