,ID,E,N,ID_5kmsq,OID_,UNIQUE,A1,A2,A3,A2A3,A4,A10A11,A12,A19,A21,A22,A23,A24,A25,A27,A31,A32,A99G1,B5B14,B21,B99,C1,G1,G2,G5,K201,K202,K203,K204,K205,K206,K207,K208,K209,K210,K211,K299,M1M4M7,M1,M4,M7,M9,M13M14,M17,M98,L1TOL5,L9L14,L98,N98,P90,geometry
6181,513962,342500,537500,513962342500.0,5157,513962342500.0,47.65851,88.63358,122.26936,210.90294,0.0,0.06246,0.0,3.18556,0.0,0.0,12.0864,23.29833,0.0,0.0,0.0,9.3693,514.97871,0.0,0.0,0.0,0.0,202.66871,1626.47129,133.69,556.76014,266.96141,368.35746,338.01161,242.53976,373.95809,128.20964,111.41736,323.77093,340.6881,1322.39637,4373.12498,3505.41735,3042.053,254.72893,208.63542,109.3927,159.82396,4789.71728,8564.34689,4.34896,18.99704,23.34587,22818.69031,30.55227,POINT (-2.894382183740166 54.72917769250532)
6182,513963,347500,537500,513963347500.0,5158,513963347500.0,107.49203,127.79153,120.32839,248.11991,7.46603,7.76214,0.0,5.64412,0.0,1.77929,32.56092,20.75955,0.86131,0.0,2.3524,5.14664,857.63722,0.0,0.10466,0.10466,0.34888,404.58076,1275.52924,111.01,539.51573,211.68561,511.04291,340.52639,228.16982,460.29874,88.2633,84.09294,365.92821,189.25614,1622.82473,4641.69231,1972.36418,1660.40487,206.74631,105.213,54.04555,93.43135,2748.73671,4868.57578,13.42559,52.7305,66.15609,55468.29981,41.0492,POINT (-2.816751269499444 54.72972563109652)
6183,513964,352500,537500,513964352500.0,5159,513964352500.0,41.88644,47.38666,126.12263,173.50929,11.83183,5.33086,0.0,4.22301,0.0,0.19815,6.48896,1.43506,0.0,0.0,1.53281,15.054,537.63372,0.0,0.25645,0.25645,0.03534,261.40531,1096.50469,463.79,314.06183,190.07536,158.23934,201.53307,179.73871,142.11155,42.22336,64.61604,120.22072,241.93761,530.32574,2185.09611,2977.49808,2508.05077,137.58175,331.86556,64.71486,114.30606,3688.24265,6844.75983,55.59001,242.35985,297.95011,56885.32977,25.13396,POINT (-2.739117854249305 54.73022387257496)
6184,513965,357500,537500,513965357500.0,5160,513965357500.0,38.1446,56.46758,191.27482,247.74239,3.64092,1.48015,0.00756,25.61091,3.38867,0.04263,0.03782,0.24354,0.01891,0.00756,4.23553,10.20293,705.52396,0.0,0.0,0.0,0.0,358.46416,1287.69584,177.18,400.89057,250.05143,124.65183,278.30488,223.05773,110.67719,50.54382,77.57071,94.5705,373.36388,467.53677,2451.21635,2686.50376,2281.67183,97.1886,307.64333,54.46677,50.17576,3403.18565,6194.32945,0.81967,3.92189,4.74155,55727.94014,31.16107,POINT (-2.661482175521179 54.73067241359803)
6185,513966,362500,537500,513966362500.0,5161,513966362500.0,53.67574,69.49153,98.23642,167.72796,0.4787,2.86478,0.04971,31.37111,22.27008,0.07978,0.24855,1.29768,0.12427,0.04971,0.32311,7.95081,723.01297,0.0,0.0,0.0,0.0,424.01611,1028.30389,513.99,359.1057,220.37594,112.54559,252.26541,195.03197,99.60266,45.71334,67.38612,86.20074,337.15983,419.86053,2195.24544,2819.47807,2400.49364,98.83866,320.14577,56.656,46.63364,3583.28658,6506.05153,0.55787,0.55785,1.11572,51497.69481,28.73174,POINT (-2.583844470889995 54.73107125115646)
6186,513967,367500,537500,513967367500.0,5162,513967367500.0,1.76617,2.38006,3.11047,5.49052,0.01722,0.10909,0.00191,0.97901,0.85747,0.00287,0.0729,0.04976,0.00478,0.00191,0.01244,0.28422,48.83795,0.0,0.0,0.0,0.0,38.95795,114.20205,2308.42,31.3531,19.83302,9.41083,21.35226,16.91224,8.32857,4.27077,6.32669,7.27058,31.50303,35.12457,191.68524,3516.90103,2963.62152,123.03866,430.24085,71.41666,69.96089,4477.51734,8135.79296,0.07415,0.12104,0.1952,3849.05636,2.69376,POINT (-2.506204977969597 54.73142038257426)
6187,513968,372500,537500,513968372500.0,5163,513968372500.0,1.95535,2.10898,8.10706,10.21604,0.01526,0.09667,0.00169,0.8675,0.7598,0.00254,1.53869,0.04409,0.00424,0.00169,0.01102,0.25185,17.50984,0.0,0.0,0.0,0.0,1.53984,777.99016,1676.64,33.55907,35.05983,0.37196,7.14373,15.3983,0.32919,11.10069,17.12414,1.81515,81.9682,1.79564,205.66018,2994.75716,2443.56159,106.56086,444.63471,56.44333,91.06947,2967.02967,6109.30001,0.79709,1.94223,2.73929,402.84093,7.209,POINT (-2.428563934408197 54.7317198055089)
6188,513969,377500,537500,513969377500.0,5164,513969377500.0,0.43821,0.0,6.38363,6.38363,0.0,0.0,0.0,0.08633,0.0,0.0,1.6552,0.0,0.0,0.0,0.06651,0.0,9.95176,0.0,0.0,0.0,0.0,1.32176,924.25824,1454.31,45.44437,47.63907,0.06422,8.80483,20.36823,0.07662,13.57329,22.12047,1.74727,111.17883,0.71032,271.71985,3057.35334,2505.98334,92.32671,459.04328,58.49014,111.1171,2820.8153,6047.77676,1.56632,4.1303,5.69658,89.04375,8.30246,POINT (-2.350921577883796 54.73196951795126)
6189,513970,382500,537500,513970382500.0,5165,513970382500.0,0.0,0.0,0.44774,0.44774,0.0,0.0,0.0,0.10262,0.0,0.0,0.00044,0.0,0.0,0.0,0.07906,0.0,3.02616,0.0,0.0,0.0,0.0,2.39616,208.03384,2099.18,24.00971,24.42072,0.13693,4.40357,9.61485,0.17476,3.92622,8.53105,0.20351,55.58284,0.69063,131.69129,3992.82013,3350.97972,67.98302,573.85739,81.13057,184.51041,3684.98629,7943.4481,2.40935,6.98906,9.39842,237.96273,1.56651,POINT (-2.273278146099622 54.73216951822579)
6190,513971,387500,537500,513971387500.0,5166,513971387500.0,0.0,0.0,2.32399,2.32399,0.0,0.0,0.0,0.53268,0.0,0.0,0.00228,0.0,0.0,0.0,0.41038,0.0,24.12202,0.0,0.0,0.0,0.0,20.85202,1044.82798,1174.62,125.11047,124.22343,0.83094,25.14911,57.88215,0.88993,22.27718,49.70883,1.40983,277.32632,2.5147,687.3044,4212.72814,3548.07195,68.29423,596.36195,83.39326,194.8732,3838.21051,8329.20584,1.31576,3.06157,4.37731,285.12461,6.76175,POINT (-2.195633876779577 54.7323198049905)
