,Unnamed: 0,@id,sample.samplingPoint,sample.samplingPoint.notation,sample.samplingPoint.label,sample.sampleDateTime,determinand.label,determinand.definition,determinand.notation,resultQualifier.notation,result,codedResultInterpretation.interpretation,determinand.unit.label,sample.sampledMaterialType.label,sample.isComplianceSample,sample.purpose.label,sample.samplingPoint.easting,sample.samplingPoint.northing,long,lat
34,35,http://environment.data.gov.uk/water-quality/data/measurement/MD-2832469-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-39325350,MD-39325350,"SCARCLIFFE SEWAGE TREATMENT WORKS, FE",2010-03-25 12:05:00,Nitrate-N,Nitrate as N,117,,27.6,,mg/l,FINAL SEWAGE EFFLUENT,False,PLANNED INVESTIGATION (LOCAL MONITORING),450000,368470,-1.2527779141637825,53.21094953213503
35,36,http://environment.data.gov.uk/water-quality/data/measurement/MD-2832854-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-39325350,MD-39325350,"SCARCLIFFE SEWAGE TREATMENT WORKS, FE",2010-04-07 11:55:00,Nitrate-N,Nitrate as N,117,,50.2,,mg/l,FINAL SEWAGE EFFLUENT,False,PLANNED INVESTIGATION (LOCAL MONITORING),450000,368470,-1.2527779141637825,53.21094953213503
36,37,http://environment.data.gov.uk/water-quality/data/measurement/MD-2834157-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-39325350,MD-39325350,"SCARCLIFFE SEWAGE TREATMENT WORKS, FE",2010-04-25 11:53:00,Nitrate-N,Nitrate as N,117,,53.1,,mg/l,FINAL SEWAGE EFFLUENT,False,PLANNED INVESTIGATION (LOCAL MONITORING),450000,368470,-1.2527779141637825,53.21094953213503
37,38,http://environment.data.gov.uk/water-quality/data/measurement/MD-2834824-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-39325350,MD-39325350,"SCARCLIFFE SEWAGE TREATMENT WORKS, FE",2010-05-08 11:53:00,Nitrate-N,Nitrate as N,117,,36.5,,mg/l,FINAL SEWAGE EFFLUENT,False,PLANNED INVESTIGATION (LOCAL MONITORING),450000,368470,-1.2527779141637825,53.21094953213503
38,39,http://environment.data.gov.uk/water-quality/data/measurement/MD-2836665-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-39325350,MD-39325350,"SCARCLIFFE SEWAGE TREATMENT WORKS, FE",2010-06-04 13:16:00,Nitrate-N,Nitrate as N,117,,41.8,,mg/l,FINAL SEWAGE EFFLUENT,False,PLANNED INVESTIGATION (LOCAL MONITORING),450000,368470,-1.2527779141637825,53.21094953213503
39,40,http://environment.data.gov.uk/water-quality/data/measurement/MD-2837676-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-39325350,MD-39325350,"SCARCLIFFE SEWAGE TREATMENT WORKS, FE",2010-06-19 12:03:00,Nitrate-N,Nitrate as N,117,,42.5,,mg/l,FINAL SEWAGE EFFLUENT,False,PLANNED INVESTIGATION (LOCAL MONITORING),450000,368470,-1.2527779141637825,53.21094953213503
40,41,http://environment.data.gov.uk/water-quality/data/measurement/MD-2839942-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-39325350,MD-39325350,"SCARCLIFFE SEWAGE TREATMENT WORKS, FE",2010-07-10 14:09:00,Nitrate-N,Nitrate as N,117,,46.4,,mg/l,FINAL SEWAGE EFFLUENT,False,PLANNED INVESTIGATION (LOCAL MONITORING),450000,368470,-1.2527779141637825,53.21094953213503
41,42,http://environment.data.gov.uk/water-quality/data/measurement/MD-2840642-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-39325350,MD-39325350,"SCARCLIFFE SEWAGE TREATMENT WORKS, FE",2010-07-21 11:50:00,Nitrate-N,Nitrate as N,117,,40.4,,mg/l,FINAL SEWAGE EFFLUENT,False,PLANNED INVESTIGATION (LOCAL MONITORING),450000,368470,-1.2527779141637825,53.21094953213503
42,43,http://environment.data.gov.uk/water-quality/data/measurement/MD-2842156-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-39325350,MD-39325350,"SCARCLIFFE SEWAGE TREATMENT WORKS, FE",2010-08-04 12:53:00,Nitrate-N,Nitrate as N,117,,28.5,,mg/l,FINAL SEWAGE EFFLUENT,False,PLANNED INVESTIGATION (LOCAL MONITORING),450000,368470,-1.2527779141637825,53.21094953213503
43,44,http://environment.data.gov.uk/water-quality/data/measurement/MD-2842877-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-39325350,MD-39325350,"SCARCLIFFE SEWAGE TREATMENT WORKS, FE",2010-08-15 11:29:00,Nitrate-N,Nitrate as N,117,,34.8,,mg/l,FINAL SEWAGE EFFLUENT,False,PLANNED INVESTIGATION (LOCAL MONITORING),450000,368470,-1.2527779141637825,53.21094953213503
44,45,http://environment.data.gov.uk/water-quality/data/measurement/MD-2844565-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-39325350,MD-39325350,"SCARCLIFFE SEWAGE TREATMENT WORKS, FE",2010-09-04 14:22:00,Nitrate-N,Nitrate as N,117,,40.5,,mg/l,FINAL SEWAGE EFFLUENT,False,PLANNED INVESTIGATION (LOCAL MONITORING),450000,368470,-1.2527779141637825,53.21094953213503
45,46,http://environment.data.gov.uk/water-quality/data/measurement/MD-2846349-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-39325350,MD-39325350,"SCARCLIFFE SEWAGE TREATMENT WORKS, FE",2010-09-29 10:46:00,Nitrate-N,Nitrate as N,117,,38.1,,mg/l,FINAL SEWAGE EFFLUENT,False,PLANNED INVESTIGATION (LOCAL MONITORING),450000,368470,-1.2527779141637825,53.21094953213503
46,47,http://environment.data.gov.uk/water-quality/data/measurement/MD-2847044-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-39325350,MD-39325350,"SCARCLIFFE SEWAGE TREATMENT WORKS, FE",2010-10-09 12:00:00,Nitrate-N,Nitrate as N,117,,38.2,,mg/l,FINAL SEWAGE EFFLUENT,False,PLANNED INVESTIGATION (LOCAL MONITORING),450000,368470,-1.2527779141637825,53.21094953213503
47,48,http://environment.data.gov.uk/water-quality/data/measurement/MD-2847643-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-39325350,MD-39325350,"SCARCLIFFE SEWAGE TREATMENT WORKS, FE",2010-10-24 11:23:00,Nitrate-N,Nitrate as N,117,,37.1,,mg/l,FINAL SEWAGE EFFLUENT,False,PLANNED INVESTIGATION (LOCAL MONITORING),450000,368470,-1.2527779141637825,53.21094953213503
48,49,http://environment.data.gov.uk/water-quality/data/measurement/MD-2849912-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-39325350,MD-39325350,"SCARCLIFFE SEWAGE TREATMENT WORKS, FE",2010-11-13 11:48:00,Nitrate-N,Nitrate as N,117,,37.9,,mg/l,FINAL SEWAGE EFFLUENT,False,PLANNED INVESTIGATION (LOCAL MONITORING),450000,368470,-1.2527779141637825,53.21094953213503
49,50,http://environment.data.gov.uk/water-quality/data/measurement/MD-2850464-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-39325350,MD-39325350,"SCARCLIFFE SEWAGE TREATMENT WORKS, FE",2010-11-21 12:30:00,Nitrate-N,Nitrate as N,117,,43.2,,mg/l,FINAL SEWAGE EFFLUENT,False,PLANNED INVESTIGATION (LOCAL MONITORING),450000,368470,-1.2527779141637825,53.21094953213503
